iff_id,callsign,vehicle_ip,c2_port,payload_port,payload_security,security_mode,mode1,mode2,mode3,mode4,mode5,mode6,mode7
2114,KIRINKI-108,10.59.144.230,40207,40208,f,5,3,2b32f1d5e1c0dacd2c86522e3347e694,f8b64950fce5ea06d3b896c068a20288,e01e28812d7284d4d29a2d45fcbb45a9,7f91cd15929688e905bfa23d515dfa51,f9186b9667a61bf9d38a8d0f6b8e98f8,8267b3ca389b15d2243c985fc5bec36d
2178,KIRINKI-109,10.59.144.230,11938,11939,f,4,16,0f9531409e409d32a94aefe412bbd63f,3a4433fc78c57409afa4a487ce3a30fb,e4e3c9571b65f9b46368f74c14636c21,89d941c2249a84b58b4b6e7235c640aa,7fb529dbd2f425e42798c3099e41072b,fb1574bfb411911db8c64772b26819ae
2179,KIRINKI-110,10.59.144.230,8935,8936,f,5,18,ea9a53d4d35e788909fe1989d45ddc7d,4851eae315ae13bc3377ac3259eb4612,afc79a121a9a3ee57c8200a26f6282c6,217bf5ba55d6c55cb9ce6e424e5ef6e2,908320077fb40fb21de707657c755b32,4a8263b8735854d5a23a3aabd554ed83
2180,KIRINKI-111,10.59.144.230,36496,36497,f,3,18,3a3eaa333cc6b6a8f6110d3471934e0c,67e87ccda8196c1899260305068dedc5,74530051acc8057384b88a4d701f4307,cff01ea03407d573ed9cfda7afa4d844,17aba29545ddd7793c3768826d6878b7,80133093f5656a2d76baa49fdb3e9b3b
2181,KIRINKI-112,10.59.144.230,44687,44688,f,4,2,24039b50db74872f8cf6e90447aeecac,7f50b6145d19e1ee558f31820dbcb971,42d236825a3f4f5e607302c9cf8fcbd8,f29c9640b844347559e650aab8eccbbb,c99267e36ddb8b07fa5c294e3460da08,39c109825d48665ac58c76e3aa607437
2182,KIRINKI-113,10.59.144.230,34675,34676,f,4,3,b1bf4a80d90b727da52964ab9ef42483,ec7d384ef1e127dc5b607c80ede2caaf,a0e86a288d1d63a66e44d86d8e388a85,a841ca9dc11bd9eda1eda7c1bdf214ad,677b31fd5300440ab52656f26ada79bb,2e01202750ed17e7fdb122f0bfb76f20
2183,KIRINKI-114,10.59.144.230,4785,4786,f,5,17,3a0687c7890202cae5b469b30f7b70be,0fe6789eb487b5484284c55f2ff10e90,2e78d6db7c4f67b2e09d2e0c0f05c04b,7ff97af4ba3a15aaf63732f5a449b619,a17fcbff6f40942bc2a77824c51b508d,f16ffad0b609136a6bc19dbaacc9018c
2184,KIRINKI-115,10.59.144.230,13501,13502,f,1,10,110538b3688a6eae43f44b61048b6a81,8c587a6236b9eee13bba705adfe3ec2c,0f3fb9af6dc3d742e1caff03706f569e,d6a53383e4adc0f4fe1716a8f8254731,a87045ad7289f7f9f753fe7d27aeb954,73fa65ab982cf469aef16bdffea169d6
2185,KIRINKI-116,10.59.144.230,32441,32442,f,1,4,1f73a4a90c90ba67a7ef0a1b85c196d8,e59b0fdbc67772eda50a375da1e2a4bf,25d7e00e6f2ee9157bb8bf4eff744d44,597720b1fb023ae83a88b23f6626f910,c5b542b8560c1a87a797ac2a4c852420,b032b01361125971ea1e5f139467e74c
2186,KIRINKI-117,10.59.144.230,6619,6620,f,2,16,7061b204efc4e6e3378632a07c033494,3dc382ba60e9eee44ec35e9e99b99f00,cf73093c2a09ceebb3f1881434876246,622b44ff96d17fba1ebcb3eae23a6a12,b7aaaacd5ba889248d88a687c2d0e042,a9885d482f5400a68c99773e8a021155
2187,KIRINKI-118,10.59.144.230,1657,1658,f,2,5,7da457a2edd3b547a392fd5926406b71,7c228ebd24dbde6a2651dbdf86e2e678,0e2df5a15a256f7aca1f6e38a9a727ed,8d36c35c1f7e5fdbb6f301367a5671e2,97bc997bc90cf83110cb751ec6af9338,85428b3053d7a022354cf28bb2d196bf
2188,KIRINKI-119,10.59.144.230,46623,46624,f,2,15,417c4a2fe9ac3d51a9eb4bb7640ec056,269259ae9fa2ada2d516eacd93a24d40,43bb3ba58dff2fefc5dd8e797dd76ab3,7be0a5fb10910e23f451818c3ec1275a,22850474e8cf63b02c56f18b94b020ba,1979bd81262e181398587a6a69a97c8a
2189,KIRINKI-120,10.59.144.230,24435,24436,f,0,11,3b632173d54c414b152215e65ef7499e,721cc9a8b5efa397f9a430a40496dc61,0cdeb00287be67f6c0921aff5daf7e2d,bc12c224e538e47ecbeb7fb9a61c54d4,76460962ac365682399b816cfcec9a2c,b9d2e92c17862035aced2a6c570a132c
2190,KIRINKI-121,10.59.144.230,43904,43905,f,7,16,d69f2e2be8fe528cc205b4c86e471cc1,0582aa9b7a7815d08b45d802933d954b,d2bb392df0ffdb83746378a6c0845cb1,8987ebefd7c8778d46e400d038937c37,253f65d20592279b027b3800b2083ad7,3ee1d92013020b93b2354d09f9156fb6
2191,KIRINKI-122,10.59.144.230,2730,2731,f,6,0c,41fe06e2ce9bde98fc47f0c522e5056d,5e84450b2549912898c1f84049876e5f,9d6770c2e7ce8935f2b8c9d716807f18,8f1c25daa435a5af897df5793c6c3284,eb8c2a08c22b32c547ea96d3903acfde,cb8953abe819d3c860046b7f37ddc6ab
2192,KIRINKI-123,10.59.144.230,47423,47424,f,2,12,1f4fcb3e12a0e99410f6934ef104f259,ea8c76763f3ed4fde7d17f5170e63abf,4cd6f6eea8e2e8b64834768debf9dd9e,f1bd86c5b009e61659352295dd0f4f5b,8cae4631907f4b7e350fd3e184cbceca,b299d824adc26bf2ead36f29d1e19e90
2193,KIRINKI-124,10.59.144.230,41195,41196,f,0,1,8c27bd70fd7d24f04f1034728c8073e5,c282f1d29bd6889e99dfed4f317b3127,09773038ad60697ba979df65c141565d,452f5b5fd4c5ca31d9070e6f49f1dd04,28a42d020862b0441a1bc5ce91c3a6a7,36de6f8d70b2ee725e12c3ef24026e11
2194,KIRINKI-125,10.59.144.230,25897,25898,f,2,16,523830b3b1dac563b114c0e1f512a840,2022d08f346d1bc8e6a15622baf8c920,f5a23b1316e6d77e79d243131c21f53a,a9d2e240534f9f618f3d6dbef3967038,65199dc08397527836d061352da644d1,743551188822493db82eb214b13e0a99
2195,KIRINKI-126,10.59.144.230,58252,58253,f,2,17,365ef18936d755cea09fa7c73ac96fd4,861518a3b8d5eb79266eab19dafed3cd,ea2276fe42f353c144dbfece59dd6ddf,edfbb8733a5e1e14ab17acb35995c29d,7a4febcc85d00f4b5d643022fb633997,32b156d7bf76ccb9cbf73060d2b81e7a
2196,KIRINKI-127,10.59.144.230,45977,45978,f,2,18,c4297a2e291a4a7f24299165fc0853ce,795353e48128ac08648696593db3ded7,fbfaffa3046342c5bc91f875ca0b7ad6,2b1023e17578b7a6d1946bc279641e9b,f4529b214b73691c759c5d777cd61623,84485a84492514b2e8934ef411de3cb5
2197,KIRINKI-128,10.59.144.230,15926,15927,f,2,7,d6e03a34b72db68782b0df43d5c69a3a,a34a79d3b492a7c04fea9a974d0513f0,69d582ad101d045d8c3398f13df30f77,3e1f74865a2d928c1a7ffecaec3fdfc9,38d930ec160394328c0f9c45738c375b,73ebddd8d7f9cdde955ef1816c5f3ec4
2198,KIRINKI-129,10.59.144.230,30573,30574,f,4,9,4a7cbbc2657bdf8f4c21f9f7c35afcb0,cdc34cae6d76958d0b1e146501daf121,646d052e64cf3cc36a8c7959fb6b5112,f57ff4d83243086a84a7f4633f854272,cf766cacd1eedf532fb96c3af9eddf4e,1f59320af30e11e655ee8923b9fbd375
2199,KIRINKI-130,10.59.144.230,64313,64314,f,1,0e,18140b72f1f9bade4c1538ca770572df,282d5467aa5cc7317f647d23b91c5a9d,9f4eadc7072b56da4c9a9373148181c2,ecdbee80b3d7afc094cc987f0978205b,ba4d5545434dc656f278fabc5d7b2e01,7b24980057275518a63a33bcca069682
